Processes: 305 total, 2 running, 303 sleeping, 1508 threads 
2020/10/06 14:30:01
Load Avg: 2.62, 4.03, 4.61 
CPU usage: 14.10% user, 34.61% sys, 51.28% idle 
SharedLibs: 154M resident, 52M data, 12M linkedit.
MemRegions: 166522 total, 1671M resident, 54M private, 854M shared.
PhysMem: 7826M used (3311M wired), 365M unused.
VM: 1420G vsize, 1993M framework vsize, 63112809(0) swapins, 66284402(0) swapouts.
Networks: packets: 121442898/137G in, 57233235/8970M out.
Disks: 53236517/850G read, 42358067/717G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD    SYSMACH    CSW       PAGEINS IDLEW     POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
86637  Google Chrome He 0.0  01:36.73 15    1   145    66M   0B    58M   59225 59225 sleeping *0[8]       0.00000 0.00000    501 1846468   2594    779611     435014     749162    3244536    1220647   738     21008     0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
84636  Google Chrome He 0.0  16:22.14 13    1   127    520M  0B    478M  59225 59225 sleeping *0[3]       0.00000 0.00000    501 23297514  4134    5010392    3935767    8921011   22930801   9441565   6600    35209     0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
74008  NotificationCent 0.0  00:18.03 3     1   356    55M   0B    51M   74008 1     sleeping *0[12890]   0.00000 0.00000    501 540187    565     131092     57794      177677    403480     224950    7638    4161      0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
64616  USBAgent         0.0  00:00.05 2     1   27     2572K 0B    2556K 64616 1     sleeping  0[0]       0.00000 0.00000    501 1993      148     190        68         756       387        268       9       9         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62218  top              0.0  00:00.37 1/1   0   14     3272K 0B    0B    62218 61268 running  *0[1]       0.00000 0.00000    0   1432      101     365228     182613     1390      185099     1210      0       1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
62216  ex2              0.0  00:00.02 1     0   10     40M   0B    0B    62216 61268 sleeping *0[1]       0.00000 0.00000    501 10585     86      35         17         102       59         102       3       0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62214  mdworker_shared  0.0  00:00.18 4     1   50     9348K 0B    0B    62214 1     sleeping *0[1]       0.00000 0.00000    501 15606     191     708        306        1505      1520       1037      0       4         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62201  Google Chrome He 0.0  00:00.13 12    1   92     14M   8192B 0B    59225 59225 sleeping *0[3]       0.00000 0.00000    501 7931      1956    282        203        1488      658        1184      1766    4         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62199  mdworker_shared  0.0  00:00.48 4     1   50     5672K 0B    0B    62199 1     sleeping *0[1]       0.00000 0.00000    501 39728     191     1104       445        3861      4112       2834      0       9         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62192  com.apple.CloudD 0.0  00:00.08 2     1   71     2272K 0B    0B    62192 1     sleeping  0[0]       0.00000 0.00000    501 5675      226     239        62         1611      667        649       77      3         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62155  CoreSpotlightSer 0.0  00:00.29 4     2   42     4564K 0B    3348K 62155 1     sleeping  0[0]       0.00000 0.00000    501 4044      191     2557       1081       7842      2466       2613      409     24        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
62136  zsh              0.0  00:00.03 1     0   21     888K  0B    748K  62136 61383 sleeping *0[1]       0.00000 0.00000    501 954       242     53         20         13172     117        181       22      0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61894  VTDecoderXPCServ 0.0  00:00.06 2     1   48     3076K 0B    1768K 61894 1     sleeping *0[39]      0.00000 0.00000    501 1882      170     3834       1544       1177      2775       627       64      2         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61867  ocspd            0.0  00:00.12 2     1   34     1508K 0B    828K  61867 1     sleeping *0[1]       0.00000 0.00000    0   1236      152     2725       45         4923      3317       2222      9       7         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61839  bluetoothaudiod  0.0  00:00.47 4     1   155    3728K 0B    1428K 61839 1     sleeping *0[1]       0.00000 0.00000    0   10385     257     5412       2366       5304      25167      11542     26      17        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61788  smd              0.0  00:00.01 2     1   13     580K  0B    572K  61788 1     sleeping *0[2]       0.00000 0.00000    0   719       115     93         44         484       175        147       1       0         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61785  loginitemregiste 0.0  00:00.02 2     1   39     944K  0B    924K  61785 1     sleeping *0[2]       0.00000 0.00000    501 1595      139     159        49         584       332        299       0       0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
